carat,cut,color,clarity,price
0.23,Ideal,E,SI2,326.0
0.21,Premium,E,SI1,326.0
,Good,E,VS1,327.0
0.29,Premium,I,VS2,334.0
0.31,Good,J,SI2,335.0
0.24,Very Good,I,VVS1,336.0
0.26,Very Good,H,SI1,337.0
0.22,Fair,,VS2,337.0
0.23,Very Good,H,VS1,338.0
0.3,Good,J,SI1,339.0
0.23,Ideal,J,,340.0
0.22,Premium,F,SI1,342.0
0.31,Ideal,J,SI2,344.0
0.2,Premium,,SI2,345.0
0.32,Premium,E,I1,345.0
0.3,Ideal,I,SI2,348.0
0.3,Good,J,SI1,351.0
0.3,Good,J,SI1,351.0
0.3,Very Good,J,,351.0
,Good,I,SI2,351.0
0.23,Very Good,E,VS2,352.0
0.23,Very Good,H,VS1,353.0
0.31,Very Good,J,SI1,353.0
0.31,Very Good,J,SI1,353.0
0.23,Very Good,G,,354.0
0.24,Premium,I,VS1,355.0
0.3,Very Good,J,VS2,357.0
0.23,Very Good,D,VS2,357.0
,Very Good,F,VS1,357.0
0.23,Very Good,F,VS1,402.0
0.23,Very Good,F,VS1,402.0
0.23,Very Good,E,VS1,402.0
0.23,Very Good,E,,402.0
0.23,,D,VS1,402.0
0.23,Good,F,VS1,402.0
0.23,Good,E,VS1,402.0
0.31,Good,H,SI1,402.0
0.26,Very Good,D,VS2,403.0
0.33,Ideal,I,SI2,403.0
0.33,Ideal,I,SI2,403.0
,Ideal,J,,403.0
0.26,Good,D,VS2,403.0
0.26,Good,D,VS1,403.0
0.32,Good,H,SI2,403.0
0.29,Premium,F,SI1,403.0
0.32,Very Good,H,SI2,403.0
0.32,Good,,SI2,403.0
0.29,Very Good,H,SI2,404.0
0.24,Very Good,F,SI1,404.0
0.23,Ideal,G,VS1,404.0
0.32,Ideal,I,SI1,404.0
0.22,Premium,E,VS2,404.0
0.22,Premium,D,VS2,404.0
0.3,Ideal,I,SI2,405.0
0.3,Premium,J,SI2,405.0
,Very Good,I,SI1,405.0
,,I,SI1,405.0
0.3,Good,I,SI1,405.0
0.35,Ideal,I,VS1,552.0
0.3,Premium,D,SI1,552.0
0.3,Ideal,,SI1,552.0
0.3,Ideal,D,SI1,552.0
0.42,Premium,I,SI2,552.0
0.28,Ideal,G,VVS2,553.0
,Very Good,G,SI1,553.0
0.31,Premium,G,SI1,553.0
0.24,Premium,,VVS1,553.0
0.24,Very Good,D,VVS1,553.0
0.3,,H,SI1,554.0
0.3,Premium,H,SI1,554.0
0.3,Premium,H,SI1,554.0
0.3,,H,SI1,554.0
0.26,Very Good,,VVS2,554.0
0.26,Very Good,E,VVS2,554.0
0.26,Very Good,D,VVS2,554.0
0.26,Very Good,D,VVS2,554.0
0.26,Very Good,E,VVS1,554.0
0.26,Very Good,E,VVS1,554.0
0.26,Very Good,,VVS1,554.0
0.26,Ideal,E,VVS2,554.0
0.38,Ideal,I,SI2,554.0
0.26,Good,E,VVS1,554.0
0.24,Premium,G,VVS1,554.0
0.24,Premium,H,VVS1,554.0
0.24,Premium,H,VVS1,554.0
0.24,Premium,H,VVS2,554.0
0.32,Premium,I,SI1,554.0
0.7,Ideal,E,SI1,2757.0
0.86,,E,SI2,2757.0
0.7,Ideal,G,VS2,2757.0
0.71,Very Good,E,VS2,2759.0
,Very Good,,SI2,2759.0
0.7,Good,E,VS2,2759.0
0.7,Good,F,VS1,2759.0
0.96,,F,SI2,2759.0
0.73,Very Good,E,SI1,2760.0
0.8,Premium,H,SI1,2760.0
0.75,Very Good,D,SI1,2760.0
0.75,Premium,E,SI1,2760.0
,Premium,G,VS2,2760.0
0.8,Ideal,I,VS1,2760.0
0.75,Ideal,G,SI1,2760.0
0.8,Premium,G,SI1,2760.0
0.74,Ideal,I,VVS2,2761.0
0.81,Ideal,F,SI2,2761.0
0.59,Ideal,E,VVS2,2761.0
0.8,Ideal,F,SI2,2761.0
0.74,Ideal,,SI2,2761.0
0.9,Premium,I,,2761.0
0.74,Very Good,G,SI1,2762.0
0.73,Ideal,F,VS2,2762.0
0.73,Ideal,F,VS2,2762.0
0.8,Premium,F,SI2,2762.0
0.71,Ideal,G,VS2,2762.0
0.7,Ideal,E,VS2,2762.0
0.71,Ideal,D,SI2,2762.0
0.74,Ideal,E,SI1,2762.0
,Very Good,F,VS2,2762.0
0.7,Fair,F,VS2,2762.0
0.7,Fair,F,VS2,2762.0
0.7,Premium,F,,2762.0
0.91,Premium,H,SI1,2763.0
0.61,Very Good,D,VVS2,2763.0
,Fair,H,SI2,2763.0
0.91,Fair,H,SI2,2763.0
0.77,Ideal,H,VS2,2763.0
0.71,Very Good,D,SI1,2764.0
0.71,Ideal,D,SI1,2764.0
0.7,Very Good,E,VS2,2765.0
0.77,Very Good,H,VS1,2765.0
0.63,Premium,E,VVS1,2765.0
0.71,Very Good,F,VS1,2765.0
0.71,Premium,F,VS1,2765.0
0.76,Ideal,H,SI1,2765.0
0.64,Ideal,G,VVS1,2766.0
0.71,Premium,G,VS2,2766.0
0.71,Premium,G,VS2,2766.0
0.7,Very Good,D,VS2,2767.0
0.7,Very Good,F,VS1,2767.0
0.71,Ideal,D,SI2,2767.0
0.7,Good,H,VVS2,2767.0
0.71,Very Good,G,VS1,2768.0
0.73,Very Good,D,SI1,2768.0
0.7,Very Good,D,SI1,2768.0
0.7,Ideal,E,SI1,2768.0
0.71,Premium,D,SI2,2768.0
0.74,Ideal,I,SI1,2769.0
0.73,Premium,G,VS2,2770.0
0.76,Very Good,F,SI1,2770.0
0.76,Ideal,D,SI2,2770.0
0.71,Ideal,F,SI1,2770.0
0.73,Premium,G,VS2,2770.0
0.73,Ideal,D,SI2,2770.0
0.73,Premium,G,VS2,2770.0
0.72,Very Good,H,VVS2,2771.0
0.73,Very Good,F,SI1,2771.0
0.71,Ideal,G,VS2,2771.0
0.79,,F,SI2,2771.0
0.73,Very Good,H,VVS1,2772.0
0.8,Very Good,F,SI2,2772.0
0.58,Ideal,G,VVS1,2772.0
,Ideal,F,VVS1,2772.0
0.71,Good,E,VS2,2772.0
0.75,Ideal,D,SI2,2773.0
0.7,,D,VS2,2773.0
1.17,Very Good,J,I1,2774.0
0.6,Ideal,E,VS1,2774.0
0.83,Good,I,,2774.0
0.74,Very Good,,VS2,2775.0
0.72,Very Good,G,VS2,2776.0
0.71,Premium,E,VS2,2776.0
0.71,Ideal,E,,2776.0
0.54,,E,VVS2,2776.0
0.54,Ideal,E,VVS2,2776.0
0.72,Ideal,G,SI1,2776.0
0.72,Ideal,G,SI1,2776.0
0.72,Good,G,VS2,2776.0
,Ideal,G,SI1,2776.0
0.7,Very Good,D,VS1,2777.0
0.71,,F,VS2,2777.0
0.71,Very Good,F,VS2,2777.0
,Good,F,VS2,2777.0
0.71,Good,F,VS2,2777.0
0.7,Ideal,,VS2,2777.0
0.7,Premium,E,VS2,2777.0
0.7,Premium,E,SI1,2777.0
0.7,Premium,E,SI1,2777.0
0.7,Premium,E,SI1,2777.0
0.7,Premium,E,SI1,2777.0
0.7,Ideal,E,SI1,2777.0
0.72,Premium,F,SI1,2777.0
0.7,Very Good,E,SI1,2777.0
0.7,Premium,E,SI1,2777.0
0.7,Premium,E,,2777.0
0.98,Fair,H,SI2,2777.0
0.78,Premium,F,SI1,2777.0
,Very Good,E,SI1,2777.0
0.52,Ideal,F,VVS1,2778.0
0.73,Very Good,H,VS2,2779.0
0.7,Very Good,F,VS2,2780.0
0.77,Premium,G,VS2,2780.0
0.71,Ideal,F,VS2,2780.0
0.74,Ideal,G,VS1,2780.0
0.7,Ideal,,,2780.0
1.01,Premium,F,I1,2781.0
0.77,Ideal,H,SI1,2781.0
0.78,Ideal,H,SI1,2781.0
0.72,Very Good,H,VS1,2782.0
0.53,Very Good,D,VVS2,2782.0
0.76,Ideal,G,VS2,2782.0
0.7,Good,E,VS1,2782.0
0.7,Premium,E,VS1,2782.0
0.75,Very Good,D,SI2,2782.0
0.72,Ideal,D,SI1,2782.0
0.72,Premium,D,SI1,2782.0
0.7,Premium,D,SI1,2782.0
0.84,Fair,G,SI1,2782.0
0.75,Premium,F,SI1,2782.0
0.52,Ideal,F,IF,2783.0
0.72,Very Good,F,VS2,2784.0
0.72,Very Good,F,VS2,2787.0
0.51,Ideal,F,,2787.0
0.64,Ideal,D,VS1,2787.0
0.7,Very Good,H,VVS1,2788.0
0.83,Very Good,I,VS1,2788.0
0.76,Ideal,I,VVS2,2788.0
0.77,Good,G,VS1,2788.0
0.71,,,SI1,2788.0
1.01,Fair,E,I1,2788.0
1.01,Premium,H,SI2,2788.0
0.77,Good,F,SI1,2789.0
0.76,Good,E,SI1,2789.0
0.76,Premium,E,SI1,2789.0
0.76,Premium,E,,2789.0
1.05,Very Good,J,SI2,2789.0
0.81,Ideal,G,SI2,2789.0
0.7,Ideal,,SI1,2789.0
0.55,Ideal,G,IF,2789.0
0.81,Good,G,SI2,2789.0
0.63,Premium,E,VVS1,2789.0
0.77,Premium,H,,2789.0
1.05,Fair,J,SI2,2789.0
0.64,Ideal,G,,2790.0
0.76,Premium,I,,2790.0
0.83,Ideal,F,SI2,2790.0
0.71,Premium,F,VS1,2790.0
,Premium,F,VS1,2790.0
0.87,Very Good,I,SI1,2791.0
0.73,Ideal,E,SI1,2791.0
0.71,Premium,E,SI1,2792.0
0.71,Premium,E,SI1,2792.0
0.71,Ideal,E,SI1,2792.0
0.7,Premium,F,VS1,2792.0
0.76,Premium,H,VVS2,2792.0
0.79,Very Good,G,SI1,2793.0
0.7,Very Good,E,VS2,2793.0
0.7,Good,E,VS2,2793.0
0.76,Ideal,I,VS2,2793.0
0.73,Ideal,H,VS2,2793.0
0.79,Very Good,E,SI1,2794.0
0.71,Very Good,E,VS2,2795.0
0.81,Premium,I,VVS2,2795.0
0.81,Ideal,F,SI2,2795.0
0.72,Good,F,VS1,2795.0
0.72,Premium,,SI2,2795.0
0.72,Premium,I,IF,2795.0
0.81,Premium,H,VS2,2795.0
0.72,,G,VS2,2795.0
1.0,Premium,,SI2,2795.0
0.73,,E,SI1,2796.0
0.81,Very Good,H,SI2,2797.0
,Very Good,E,SI1,2797.0
0.71,Premium,D,SI1,2797.0
0.71,Premium,D,SI1,2797.0
0.57,Ideal,F,VVS2,2797.0
0.51,Ideal,D,VVS1,2797.0
,Ideal,G,VS2,2797.0
0.74,Ideal,H,VS1,2797.0
0.74,Ideal,H,VS1,2797.0
0.7,Fair,G,,2797.0
0.8,Premium,F,SI2,2797.0
1.01,Fair,E,SI2,2797.0
0.8,Very Good,H,VS2,2797.0
0.77,Ideal,,VS1,2798.0
0.83,Very Good,E,SI2,2799.0
0.82,Ideal,F,,2799.0
,Ideal,D,SI1,2799.0
0.6,Very Good,G,IF,2800.0
0.9,Good,I,SI2,2800.0
0.7,Premium,E,VS1,2800.0
0.9,Very Good,I,SI2,2800.0
0.83,Ideal,G,SI1,2800.0
0.83,Ideal,G,,2800.0
0.83,Very Good,H,SI1,2800.0
0.74,Premium,G,VS1,2800.0
0.79,Ideal,I,VS1,2800.0
0.61,Ideal,G,IF,2800.0
0.76,Fair,G,VS1,2800.0
0.96,,F,I1,2801.0
0.73,Ideal,F,VS2,2801.0
0.73,Premium,F,VS2,2801.0
0.75,Ideal,H,SI1,2801.0
0.71,Premium,F,VS2,2801.0
0.71,Good,F,VS2,2801.0
0.71,Good,F,VS2,2801.0
0.71,Premium,F,VS2,2801.0
1.04,Premium,G,I1,2801.0
1.0,Premium,J,SI2,2801.0
0.87,Very Good,G,SI2,2802.0
0.53,Ideal,F,IF,2802.0
0.72,Premium,E,VS2,2802.0
0.72,Premium,F,VS1,2802.0
0.7,Very Good,F,VS2,2803.0
,Very Good,E,SI1,2803.0
0.71,Ideal,G,VS2,2803.0
